128 16 normal,14,5,3,5,3,3,3,2,2,4, 128 16 strassen,34,29,21,17,18,8,5,6,6,5, 
128 32 normal,2,2,2,3,2,2,2,2,2,2, 128 32 strassen,2,3,3,2,5,3,3,4,3,2, 
128 64 normal,3,2,2,2,4,3,2,2,2,4, 128 64 strassen,2,3,2,2,5,3,2,2,2,4, 
256 16 normal,29,25,22,27,33,26,22,25,23,22, 256 16 strassen,57,41,37,45,94,36,37,38,35,44, 
256 32 normal,22,24,23,22,22,24,29,22,24,28, 256 32 strassen,21,26,23,21,23,25,22,21,21,21, 
256 64 normal,23,28,23,24,26,21,26,24,22,21, 256 64 strassen,17,17,16,17,22,17,17,17,17,17, 
256 128 normal,26,22,24,25,28,28,26,28,22,23, 256 128 strassen,18,17,23,18,16,21,18,20,21,20, 
512 16 normal,308,275,285,270,277,277,276,267,265,275, 512 16 strassen,423,378,515,538,273,260,267,256,264,262, 
512 32 normal,277,277,278,265,281,285,265,279,290,314, 512 32 strassen,164,162,175,166,179,150,160,160,172,156, 
512 64 normal,261,261,281,269,281,272,282,264,263,266, 512 64 strassen,127,127,121,141,131,127,128,127,142,133, 
512 128 normal,275,261,290,291,259,283,258,279,272,279, 512 128 strassen,140,121,126,135,125,121,136,141,153,126, 
512 256 normal,368,290,288,280,566,269,287,270,280,268, 512 256 strassen,267,200,204,187,177,183,177,174,176,197, 
1024 16 normal,3673,3555,4162,4719,4222,3606,3478,4772,4071,3437, 1024 16 strassen,2026,2096,2551,2268,2161,1999,2074,2296,2039,2035, 
1024 32 normal,3826,3587,3635,3347,3581,4113,3620,3333,3407,3675, 1024 32 strassen,1154,1164,1174,1143,1179,1150,1177,1402,1323,1190, 
1024 64 normal,4121,4166,3413,3639,3404,3591,3611,3548,3421,3774, 1024 64 strassen,1027,977,1092,1071,940,938,930,915,1051,1030, 
1024 128 normal,3722,3436,3642,4874,3474,3551,3486,3676,3573,3520, 1024 128 strassen,945,907,959,901,956,897,949,914,962,972, 
1024 256 normal,3571,3732,4012,4331,4411,3942,4311,3980,4288,3518, 1024 256 strassen,1459,1327,1425,1315,1392,1434,1374,1384,1492,1389, 
